source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,parallax_over_error,num_selected_g_fov,G_abs
5937083204838582784,251.58134015768653,-51.49401673415409,3.9807367476760636,0.58287096,19.527618,1.7028122,6.8295336,51,12.5274356980177
5912901443721234304,264.1115515623423,-58.85186923595684,1.3339689038285603,0.09336664,17.24841,0.83597565,14.287426,90,7.874137800503194
2263373620971852928,292.563691183059,70.77502353775652,1.3262879542200607,0.14629973,18.81214,1.8009567,9.065553,38,9.425328637304712
5912575537299009536,262.80470152748677,-59.83171635986611,1.0923976311456165,0.21743844,18.79071,1.7804756,5.0239396,59,8.982614197744052
5912305160517496064,264.90080830705506,-60.27783140145305,1.5168840790068907,0.27839687,18.89399,1.8469162,5.448639,69,9.798751528321917
5912467411497513728,261.62703149230305,-60.38455681499701,1.4261091330332825,0.12820098,17.987291,1.4679775,11.124011,53,8.758055141971962
5913031254814758528,262.20180128211143,-58.83249996516086,1.1804369572859723,0.19476846,18.214287,1.1366291,6.0607195,57,8.574500794166125
5912353371527981440,264.0684321870486,-60.217967726420774,1.263976304055231,0.1024449,17.304441,1.28613,12.338108,60,7.813136113235572
5902585374661365120,230.2523634621913,-48.97865302011764,1.6099671496770314,0.27939275,17.765873,1.4509277,5.7623796,39,8.799958028464296
2264399740199934464,290.1247217471713,72.23065574441233,1.0198425128610784,0.1465236,18.422884,1.0237103,6.9602613,27,8.465549546843823
5902294111446360960,228.1046156447311,-49.79279686133935,2.2353840706079176,0.09947388,17.164856,1.5816622,22.47207,44,8.911616716106106
5902461512096272512,227.8258777517904,-49.18352414896236,1.3800904066919226,0.2337895,18.322474,1.2736912,5.9031324,49,9.02201121105564
5902461748307164160,227.89507893703174,-49.161535145368504,1.4900808780447303,0.195205,17.966919,1.6816711,7.633415,50,8.832968152928462
5917120682173074816,254.07511147997465,-56.558678510527855,1.3331128797717136,0.1560757,17.58261,1.1621227,8.5414505,45,8.206943798372818
5902623788850084736,229.12444559902508,-48.943633499161635,1.3347845515583832,0.2609938,18.812515,1.7592697,5.1142383,40,9.439571116803778
4126229305231769984,253.6680602063769,-21.89878149495904,3.423424175069194,0.48731363,19.324318,1.9680462,7.025094,44,11.996621498047416
5902328711728668928,227.3636634400439,-49.810995841272124,1.7231955452354664,0.1984166,17.840954,1.5738468,8.684735,43,9.022626643041761
4126250883169109504,253.84283043865344,-21.86160825478925,1.754152728493952,0.24566185,18.830593,1.1087227,7.1405177,44,10.050930125702106
